code.int32(),name.string(),market.string(),code_of_industry_33.int32(),industry_33.string(),code_of_industry_17.int32(),industry_17.string(),code_of_group.int32(),group.string()
1301,極洋,市場第一部（内国株）,50,水産・農林業,1,食品,7,TOPIX Small 2
1332,日本水産,市場第一部（内国株）,50,水産・農林業,1,食品,4,TOPIX Mid400
1333,マルハニチロ,市場第一部（内国株）,50,水産・農林業,1,食品,4,TOPIX Mid400
1352,ホウスイ,市場第一部（内国株）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
1375,雪国まいたけ,市場第一部（内国株）,50,水産・農林業,1,食品,6,TOPIX Small 1
1376,カネコ種苗,市場第一部（内国株）,50,水産・農林業,1,食品,7,TOPIX Small 2
1377,サカタのタネ,市場第一部（内国株）,50,水産・農林業,1,食品,6,TOPIX Small 1
1379,ホクト,市場第一部（内国株）,50,水産・農林業,1,食品,6,TOPIX Small 1
1380,秋川牧園,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品,,
1381,アクシーズ,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品,,
1382,ホーブ,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品,,
1383,ベルグアース,JASDAQ(スタンダード・内国株）,50,水産・農林業,1,食品,,
1384,ホクリヨウ,市場第一部（内国株）,50,水産・農林業,1,食品,7,TOPIX Small 2
1400,ルーデン・ホールディングス,JASDAQ(グロース・内国株）,2050,建設業,3,建設・資材,,
1401,エムビーエス,マザーズ（内国株）,2050,建設業,3,建設・資材,,
1407,ウエストホールディングス,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材,,
1413,ヒノキヤグループ,市場第一部（内国株）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1414,ショーボンドホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1417,ミライト・ホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材,4,TOPIX Mid400
1418,インターライフホールディングス,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材,,
1419,タマホーム,市場第一部（内国株）,2050,建設業,3,建設・資材,6,TOPIX Small 1
1420,サンヨーホームズ,市場第一部（内国株）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1429,日本アクア,市場第一部（内国株）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1430,ファーストコーポレーション,市場第一部（内国株）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1431,Ｌｉｂ　Ｗｏｒｋ,マザーズ（内国株）,2050,建設業,3,建設・資材,,
1433,ベステラ,市場第一部（内国株）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1434,ＪＥＳＣＯホールディングス,市場第二部（内国株）,2050,建設業,3,建設・資材,,
1435,Ｒｏｂｏｔ　Ｈｏｍｅ,市場第一部（内国株）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1436,フィット,マザーズ（内国株）,2050,建設業,3,建設・資材,,
1439,安江工務店,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材,,
1443,技研ホールディングス,市場第二部（内国株）,2050,建設業,3,建設・資材,,
1446,キャンディル,市場第一部（内国株）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1447,ＩＴｂｏｏｋホールディングス,マザーズ（内国株）,2050,建設業,3,建設・資材,,
1448,スペースバリューホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材,7,TOPIX Small 2
1450,田中建設工業,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材,,
1451,ＫＨＣ,市場第二部（内国株）,2050,建設業,3,建設・資材,,
1491,中外鉱業,市場第二部（内国株）,3500,非鉄金属,7,鉄鋼・非鉄,,
1514,住石ホールディングス,市場第一部（内国株）,1050,鉱業,2,エネルギー資源,7,TOPIX Small 2
1515,日鉄鉱業,市場第一部（内国株）,1050,鉱業,2,エネルギー資源,7,TOPIX Small 2
1518,三井松島ホールディングス,市場第一部（内国株）,1050,鉱業,2,エネルギー資源,7,TOPIX Small 2
